 0 0.546198 0.266135 0.000898
 5 0.589430 0.490381 0.032289
 10 0.609567 0.556139 0.089815
 15 0.634409 0.530812 0.071509
 20 0.636712 0.539990 0.053213
 25 0.637752 0.552120 0.049471
 30 0.651150 0.552734 0.059010
 35 0.651150 0.546806 0.042595
 40 0.649250 0.582668 0.038194
 45 0.667531 0.550674 0.051575
 50 0.661861 0.540398 0.031599
 55 0.715264 0.589534 0.033200
 60 0.670311 0.589087 0.054527
 65 0.726634 0.528122 0.063593
 70 0.726634 0.535053 0.033872
 75 0.780198 0.531948 0.047241
 80 0.793131 0.564316 0.060262
 85 0.727410 0.532602 0.044857
 90 0.840123 0.566479 0.078309
 95 0.835681 0.532847 0.036445
 100 0.832654 0.532635 0.020259
 105 0.832592 0.540090 0.044472
 110 0.860892 0.551362 0.058649
 115 0.897073 0.509503 0.018924
 120 0.814574 0.502994 0.042934
 125 0.869314 0.562755 0.034086
 130 0.849517 0.555787 0.093230
 135 0.825242 0.527967 0.067326
 140 0.868543 0.505799 0.032677
 145 0.846663 0.550935 0.113600
 150 0.831564 0.534899 0.018512
 155 0.829065 0.526991 0.033158
 160 0.836934 0.567497 0.099061
 165 0.855944 0.566408 0.077463
 170 0.824959 0.533760 0.033735
 175 0.825474 0.574673 0.081270
 180 0.820112 0.569276 0.096865
 185 0.829090 0.539452 0.059584
 190 0.849088 0.539232 0.038734
 195 0.822566 0.518014 0.061383
 200 0.824469 0.519255 0.036620
