 0 0.001514 0.000131 0.000000
 5 0.002215 0.000338 0.000002
 10 0.011108 0.000877 0.000002
 15 0.022134 0.003710 0.000005
 20 0.020696 0.004438 0.000006
 25 0.022006 0.005495 0.000030
 30 0.022662 0.005842 0.000005
 35 0.023526 0.005406 0.000002
 40 0.022212 0.005788 0.000006
 45 0.022073 0.004536 0.000112
 50 0.021421 0.005445 0.000014
 55 0.018218 0.004529 0.000004
 60 0.023326 0.005957 0.000007
 65 0.023903 0.006306 0.000003
 70 0.023919 0.004506 0.000004
 75 0.024648 0.005755 0.000009
 80 0.025759 0.006164 0.000007
 85 0.023513 0.006546 0.000005
 90 0.025348 0.005413 0.000014
 95 0.024249 0.006531 0.000005
 100 0.022821 0.006061 0.000014
